name,rectWidth,rectHeight,radius,r1,g1,b1,r2,g2,b2,r3,g3,b3,extension
pdf,80,110,15,255,0,0,200,0,0,150,0,0,"png"
docx,80,110,15,0,0,255,0,0,200,0,0,150,"png"
xlsx,80,110,15,0,128,0,0,100,0,0,80,0,"png"
pptx,80,110,15,255,165,0,200,130,0,150,100,0,"png"
gz,80,110,15,128,128,128,100,100,100,80,80,80,"png"
jpg,80,110,15,255,215,0,200,170,0,150,130,0,"png"
png,80,110,15,0,191,255,0,160,200,0,130,150,"png"
gif,80,110,15,255,105,180,200,85,150,150,65,120,"png"
mp4,80,110,15,75,0,130,60,0,110,45,0,90,"png"
mp3,80,110,15,0,255,127,0,200,100,0,150,80,"png"
zip,80,110,15,160,82,45,130,70,35,100,55,25,"png"
rar,80,110,15,139,69,19,120,60,15,100,50,10,"png"
exe,80,110,15,255,0,255,200,0,200,150,0,150,"png"
csv,80,110,15,34,139,34,30,120,30,25,100,25,"png"
json,80,110,15,255,140,0,200,110,0,150,80,0,"png"
xml,80,110,15,70,130,180,60,110,150,50,90,120,"png"
html,80,110,15,255,69,0,200,50,0,150,30,0,"png"
css,80,110,15,0,255,255,0,200,200,0,150,150,"png"
js,80,110,15,255,215,0,200,180,0,150,140,0,"png"
php,80,110,15,75,0,130,60,0,110,45,0,90,"png"
sql,80,110,15,0,255,127,0,200,100,0,150,80,"png"
java,80,110,15,255,0,0,200,0,0,150,0,0,"png"
avi,80,110,15,255,0,0,200,0,0,150,0,0,"png"
txt,80,110,15,0,0,0,90,90,90,160,160,160,"png"
